ProductoID,Nombre,Categoria,TipoProducto,Marca,PrecioUnitario,CostoActual
61,LG Barra de sonido TG697,Audio/Video,Barra de sonido,LG,96000.0,62400.0
62,BGH Termotanque AA737,Climatización,Termotanque,BGH,132000.0,92800.0
63,BGH Termotanque KH076,Climatización,Termotanque,BGH,206000.0,125900.0
64,Beko Lavavajillas ZO827,Limpieza,Lavavajillas,Beko,463000.0,341000.0
65,Philips Monitor IF537,Audio/Video,Monitor,Philips,218000.0,168600.0
66,Samsung Televisor UX574,Audio/Video,Televisor,Samsung,342000.0,241300.0
67,Drean Plancha ER117,Limpieza,Plancha,Drean,43000.0,32500.0
68,Beko Aspiradora AQ409,Limpieza,Aspiradora,Beko,218000.0,132700.0
69,Liliana Heladera HV743,Cocina,Heladera,Liliana,431000.0,291200.0
70,Whirlpool Cocina RM139,Cocina,Cocina,Whirlpool,291000.0,232000.0
71,Drean Aspiradora AZ020,Limpieza,Aspiradora,Drean,93000.0,59000.0
72,Whirlpool Heladera KF095,Cocina,Heladera,Whirlpool,817000.0,598400.0
73,Beko Plancha VT447,Limpieza,Plancha,Beko,27000.0,19200.0
74,BGH Calefactor XZ593,Climatización,Calefactor,BGH,138000.0,90900.0
75,Electrolux Plancha EG794,Limpieza,Plancha,Electrolux,29000.0,22800.0
76,Samsung Barra de sonido JG903,Audio/Video,Barra de sonido,Samsung,177000.0,107200.0
77,Atma Cocina IS462,Cocina,Cocina,Atma,307000.0,238900.0
78,Noblex Equipo de sonido UX277,Audio/Video,Equipo de sonido,Noblex,366000.0,230500.0
79,Sony Monitor ZJ016,Audio/Video,Monitor,Sony,342000.0,248800.0
80,Philips Equipo de sonido MA084,Audio/Video,Equipo de sonido,Philips,330000.0,235400.0
81,LG Lavavajillas JR817,Limpieza,Lavavajillas,LG,356000.0,220400.0
82,Philco Tostadora JP303,Cocina,Tostadora,Philco,21000.0,15900.0
83,Atma Microondas EL867,Cocina,Microondas,Atma,103000.0,69500.0
84,BGH Termotanque WY045,Climatización,Termotanque,BGH,172000.0,134300.0
85,LG Calefactor KT047,Climatización,Calefactor,LG,109000.0,72500.0
86,Electrolux Aspiradora OF916,Limpieza,Aspiradora,Electrolux,119000.0,93900.0
87,Electrolux Plancha GA728,Limpieza,Plancha,Electrolux,30000.0,18600.0
88,Drean Aspiradora RX671,Limpieza,Aspiradora,Drean,152000.0,111700.0
89,BGH Ventilador TS845,Climatización,Ventilador,BGH,30000.0,18900.0
90,LG Termotanque VZ701,Climatización,Termotanque,LG,202000.0,145700.0
91,Electrolux Lavavajillas XN194,Limpieza,Lavavajillas,Electrolux,491000.0,363500.0
92,LG Aire acondicionado LZ501,Climatización,Aire acondicionado,LG,872000.0,568400.0
93,LG Aspiradora robot CA742,Limpieza,Aspiradora robot,LG,284000.0,226800.0
94,Beko Plancha GH161,Limpieza,Plancha,Beko,32000.0,23700.0
95,LG Barra de sonido PU814,Audio/Video,Barra de sonido,LG,187000.0,113600.0
96,Liliana Cocina VN564,Cocina,Cocina,Liliana,365000.0,285100.0
97,LG Barra de sonido NU910,Audio/Video,Barra de sonido,LG,184000.0,127700.0
98,LG Aire acondicionado PK050,Climatización,Aire acondicionado,LG,759000.0,554900.0
99,Electrolux Lavavajillas HU985,Limpieza,Lavavajillas,Electrolux,660000.0,526300.0
100,Drean Aspiradora robot TG189,Limpieza,Aspiradora robot,Drean,383000.0,270500.0
